Nom de domaine,Pays BE,Departement BE,Ville BE,Nom BE,Sous domaine,Type du titulaire,Pays titulaire,Departement titulaire,Domaine IDN,Date de crtion,Date de retrait du WHOIS,
assises-entrepreneuriat.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,02-01-2013,,
assises-metiers-des-ingenieurs.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,33,0,29-01-2013,,
assises-tourisme.gouv.fr,DE,99,REGENSBURG,InterNetX GmbH,gouv.fr,ORG,FR,75,0,11-04-2005,,
assisesdelamobilite.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,17-08-2017,,
assisesdutransportaerien.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,13-03-2018,,
association.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,11-01-2005,,
associations.gouv.fr,,,,,,,,,,,,
assurance-maladie.gouv.fr,FR,92,LA DEFENSE CEDEX,COMPLETEL SAS FRANCE,gouv.fr,ORG,FR,75,0,27-04-2004,23-06-2018,
atlas.aviation-civile.gouv.fr,,,,,,,,,,,,
atlas.justice.gouv.fr,,,,,,,,,,,,
attention-feu-foret.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,29-06-2018,,
attention-feux-foret.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,29-06-2018,,
au-tour-des-parents.gouv.fr,FR,92,LA DEFENSE CEDEX,COMPLETEL SAS FRANCE,gouv.fr,ORG,FR,75,0,19-11-2012,04-01-2018,
aube.gouv.fr,,,,,,,,,,,,
aude.gouv.fr,,,,,,,,,,,,
authentification.din.developpement-durable.gouv.fr,,,,,,,,,,,,
autisme.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,28-11-2016,,
autourdesparents.gouv.fr,FR,92,LA DEFENSE CEDEX,COMPLETEL SAS FRANCE,gouv.fr,ORG,FR,75,0,19-11-2012,04-01-2018,
auvergne-rhone-alpes.direccte.gouv.fr,,,,,,,,,,,,
auvergne-rhone-alpes.drdjscs.gouv.fr,,,,,,,,,,,,
auvergne-rhone-alpes.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,28-10-2015,,
auvergne.ecologie.gouv.fr,,,,,,,,,,,,
auvergne.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,12-11-2010,,
aveyron.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
aviation-civile.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,91,0,18-09-2001,,
awncon.phm.education.gouv.fr,,,,,,,,,,,,
b3-nref.casier-judiciaire.justice.gouv.fr,,,,,,,,,,,,
bafa-bafd.gouv.fr,,,,,,,,,,,,
baignades.sante.gouv.fr,,,,,,,,,,,,
bail-mobilite.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,28-01-2019,,
bas-rhin.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
base-donnees-publique.medicaments.gouv.fr,,,,,,,,,,,,
basecommunale.paca.ecologie.gouv.fr,,,,,,,,,,,,
basedoc.diplomatie.gouv.fr,,,,,,,,,,,,
basol.developpement-durable.gouv.fr,,,,,,,,,,,,
basol.ecologie.gouv.fr,,,,,,,,,,,,
basse-normandie.gouv.fr,,,,,,,,,,,,
bercy.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,27-11-2007,,
beta.gouv.fr,,,,,,,,,,,,
bfc.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,08-01-2016,,
bibliotheques.enseignementsup-recherche.gouv.fr,,,,,,,,,,,,
biep.gouv.fr,,,,,,,,,,,,
bilan-1-an.gouv.fr,FR,72,SAINT SATURNIN,DIGITAL RURAL INFORMATIQUE,gouv.fr,ORG,FR,75,0,26-04-2013,,
bilan-un-an.gouv.fr,FR,72,SAINT SATURNIN,DIGITAL RURAL INFORMATIQUE,gouv.fr,ORG,FR,75,0,26-04-2013,,
